duration,protocol,service,flag,src_bytes,dst_bytes,count,srv_count,dst_host_count,attack_type
9212,dns,http,SF,652,4352,71,8,175,Normal
2153,http,smtp,SF,268,3290,14,38,236,Normal
1501,icmp,snmp,S0,2785,1057,90,4,70,Normal
8566,http,irc,SF,4646,3335,50,9,132,Normal
6567,dns,irc,RSTO,3851,857,29,39,30,Normal
93,tcp,ssh,SF,10156,55,92,96,151,DoS
6715,ftp,snmp,SH,433,1199,54,38,50,Normal
9739,https,http,OTH,247,3059,53,76,201,Normal
490,dns,ssh,SF,1573,3054,19,7,79,Normal
8984,tcp,snmp,OTH,339,4351,21,65,33,Normal
3057,ftp,ssh,S0,290,15,88,71,233,BruteForce
5269,tcp,ftp,RSTO,3932,341,72,0,20,Normal
1830,smtp,irc,SH,226,138,93,99,148,BruteForce
2908,icmp,snmp,OTH,70,91,91,98,220,BruteForce
7132,icmp,snmp,SH,4959,4178,45,64,244,Normal
5,dns,irc,REJ,8470,15,88,96,196,DoS
698,ftp,irc,SH,1482,1791,58,67,55,Botnet
490,ftp,snmp,RSTR,1873,792,32,45,214,WebAttack
4526,smtp,ftp,RSTO,1806,754,14,24,212,Normal
9762,ftp,ssh,REJ,2348,4994,2,28,128,Normal
5945,tcp,snmp,REJ,531,4482,7,5,96,Normal
5097,smtp,ftp,SH,3626,4942,60,72,4,Normal
7399,ftp,smtp,RSTO,3650,1097,44,65,185,Normal
634,icmp,ssh,OTH,2160,3283,57,53,20,Botnet
7372,ftp,ssh,OTH,417,19,78,82,33,BruteForce
4797,http,telnet,SH,1201,5820,29,48,184,Infiltration
6297,smtp,dns,RSTR,960,3164,74,33,45,Normal
5307,ftp,http,SH,2709,2392,45,60,54,Normal
3182,https,dns,SH,2618,2842,32,20,178,Normal
4730,http,ssh,SH,6,172,84,96,123,BruteForce
963,tcp,http,S0,1098,556,26,38,9,WebAttack
4218,dns,ssh,SF,1270,3291,2,64,118,Normal
2723,ftp,telnet,OTH,430,86,61,90,227,BruteForce
987,dns,smtp,SF,1769,423,29,45,80,WebAttack
2946,icmp,telnet,RSTO,3636,4159,65,65,227,Normal
1552,dns,telnet,OTH,3989,2774,62,43,168,Botnet
8251,http,smtp,REJ,1767,4673,48,39,84,Normal
514,http,http,SF,942,1263,98,14,170,Normal
4785,udp,ssh,RSTR,1511,3485,2,10,246,Normal
7606,ftp,ssh,SH,1632,1486,20,85,34,Normal
3190,icmp,ftp,SH,2518,1168,75,34,197,Normal
4459,smtp,snmp,SF,2884,1871,64,75,118,Normal
6121,udp,snmp,S0,4939,120,99,56,53,Normal
38,http,http,OTH,8127,94,72,73,225,DoS
9307,udp,telnet,OTH,2973,529,69,10,162,Normal
1193,icmp,irc,OTH,2005,2671,67,73,75,Botnet
8264,smtp,ssh,RSTR,3746,3013,3,34,52,Normal
4997,udp,irc,S0,714,877,28,91,161,Normal
2004,icmp,snmp,SF,849,1182,53,56,60,Normal
5985,smtp,telnet,S0,3109,250,14,76,52,Normal
4561,smtp,irc,REJ,169,139,97,70,161,BruteForce
9122,dns,smtp,SF,3492,3605,71,69,76,Normal
6942,http,ftp,RSTR,449,818,14,47,2,Normal
534,icmp,ssh,RSTO,543,954,32,27,170,WebAttack
8549,dns,snmp,SF,32,2,62,63,176,BruteForce
2242,ftp,ftp,RSTO,1113,102,36,79,210,Normal
723,https,ftp,SH,1223,3949,17,33,192,Normal
3148,https,telnet,SH,1822,3544,64,44,90,Normal
1981,smtp,dns,RSTR,2350,2893,72,50,182,Botnet
914,ftp,smtp,RSTR,1095,273,49,38,88,WebAttack
6428,http,http,SH,3639,3868,97,75,231,Normal
6756,smtp,http,SF,4392,3057,28,78,190,Normal
7344,smtp,snmp,RSTO,2381,1495,32,19,102,Infiltration
890,http,ftp,REJ,1115,582,27,45,162,WebAttack
9436,tcp,dns,RSTR,24,153,77,91,211,BruteForce
9014,dns,dns,RSTO,2655,4686,96,17,112,Normal
9362,icmp,telnet,SF,4765,210,67,43,198,Normal
3823,icmp,http,SF,542,2731,84,76,210,Normal
9963,smtp,irc,SH,216,4604,45,6,217,Normal
5209,ftp,snmp,S0,1448,6336,26,37,163,Infiltration
6759,ftp,dns,SH,397,1045,58,15,102,Normal
5605,https,snmp,OTH,670,3834,75,75,48,Normal
7153,https,smtp,REJ,579,196,50,11,52,Normal
2862,https,dns,S0,2444,185,32,53,170,Normal
3290,smtp,ssh,SF,249,29,52,77,138,BruteForce
5514,tcp,ftp,SH,2434,1482,40,41,170,Normal
1547,icmp,smtp,RSTR,3292,4180,54,38,200,Normal
8227,ftp,irc,OTH,4929,82,15,9,98,Normal
7752,ftp,ftp,REJ,3197,3032,60,29,111,Normal
1490,dns,smtp,RSTR,4192,4007,28,56,123,Normal
7247,http,telnet,OTH,1174,4841,27,28,238,Infiltration
2790,smtp,snmp,RSTO,1361,1454,23,62,125,Normal
3705,dns,ftp,RSTR,3431,4040,1,5,100,Infiltration
7609,tcp,ftp,S0,686,482,42,32,207,Normal
3748,ftp,irc,SF,5171,3173,39,41,183,Infiltration
5384,icmp,smtp,RSTO,208,143,80,64,25,BruteForce
5240,http,ftp,RSTR,133,2157,43,21,112,Normal
7425,udp,ssh,S0,309,2926,71,84,87,Normal
5681,http,snmp,S0,6761,6697,37,2,88,Infiltration
566,http,smtp,SF,1308,539,45,49,67,WebAttack
9038,udp,ssh,S0,432,3074,97,23,107,Normal
2424,icmp,smtp,OTH,2480,254,34,83,124,Normal
583,udp,ftp,S0,3807,3192,52,40,124,Botnet
1546,udp,snmp,S0,2809,281,40,0,112,Normal
2047,ftp,smtp,S0,638,3173,77,57,74,Normal
9678,https,http,OTH,4018,3159,59,25,18,Normal
3397,ftp,dns,RSTR,1057,1576,24,3,125,Normal
1772,icmp,irc,S0,2207,1234,25,59,79,Normal
3194,http,dns,OTH,366,199,78,50,138,BruteForce
8071,udp,ftp,RSTO,683,315,60,46,93,Normal
3050,tcp,irc,RSTR,3784,3900,3,10,204,Infiltration
386,http,snmp,RSTR,721,2448,39,56,67,Normal
8951,icmp,snmp,SF,1695,530,32,99,151,Normal
4146,dns,smtp,SH,1628,647,42,82,200,Normal
7784,http,irc,SH,2615,3396,23,39,235,Normal
5439,tcp,ftp,S0,3477,1884,20,17,237,Infiltration
721,https,telnet,OTH,737,818,43,42,166,WebAttack
7483,tcp,dns,SH,3598,2196,32,42,132,Infiltration
9621,http,ssh,RSTO,312,107,94,78,243,BruteForce
4398,ftp,smtp,OTH,2887,3586,83,2,55,Normal
7,tcp,smtp,RSTR,13887,80,93,80,177,DoS
3606,udp,http,S0,4425,2995,1,25,133,Normal
5953,icmp,smtp,RSTO,4409,583,25,18,173,Normal
9837,udp,snmp,SH,1195,2350,94,77,98,Normal
8282,tcp,ftp,OTH,4139,2748,60,11,56,Normal
5478,tcp,ssh,SF,311,5230,49,28,171,Infiltration
1711,smtp,telnet,REJ,1926,3408,91,84,33,Botnet
8511,https,ssh,RSTR,1684,3911,37,87,1,Normal
3958,ftp,irc,RSTO,3984,2151,75,9,62,Normal
1955,http,telnet,SF,1979,4993,12,76,155,Normal
5659,icmp,http,REJ,1752,2276,66,7,181,Normal
9296,smtp,ftp,OTH,4681,2547,68,21,130,Normal
8796,dns,http,S0,3737,2003,91,92,208,Normal
9738,https,snmp,RSTO,819,562,10,82,74,Normal
6808,tcp,http,SH,1863,4796,64,85,75,Normal
5714,http,http,REJ,4722,4572,16,79,94,Normal
2323,dns,dns,RSTR,1659,446,0,36,14,Normal
513,ftp,irc,RSTR,3719,3588,89,42,118,Botnet
9058,udp,ssh,S0,52,78,62,71,174,BruteForce
1420,tcp,http,S0,4896,806,72,3,141,Normal
8329,udp,dns,SH,4291,4423,90,72,237,Normal
726,http,snmp,REJ,1972,912,48,25,234,WebAttack
540,dns,telnet,RSTO,1720,700,29,38,216,WebAttack
536,dns,http,RSTR,1124,832,21,48,19,WebAttack
6805,ftp,ssh,SF,2785,3988,19,0,94,Normal
6539,smtp,snmp,OTH,2211,318,27,60,28,Normal
511,ftp,smtp,S0,2595,2589,95,69,88,Botnet
560,udp,ftp,OTH,797,457,27,25,211,WebAttack
1410,icmp,snmp,RSTR,4678,3303,23,89,6,Normal
1776,ftp,ssh,S0,799,3339,85,40,172,Normal
7426,smtp,dns,SH,90,1695,42,85,37,Normal
8093,http,snmp,S0,3311,3993,61,17,240,Normal
5320,https,smtp,REJ,3714,3986,31,51,147,Normal
8222,dns,http,S0,3959,4968,77,2,215,Normal
9036,icmp,irc,S0,1928,532,53,89,189,Normal
9879,smtp,smtp,S0,237,81,75,50,170,BruteForce
1605,icmp,dns,SF,3838,2871,88,90,240,Botnet
4186,dns,ftp,RSTO,1382,1026,38,8,188,Infiltration
698,https,snmp,OTH,1650,129,22,36,153,WebAttack
5392,http,dns,SH,1178,3045,9,97,39,Normal
9947,udp,http,S0,318,190,56,53,216,BruteForce
49,icmp,irc,RSTO,6503,29,97,93,61,DoS
7127,udp,dns,OTH,318,160,54,71,142,BruteForce
5823,icmp,irc,REJ,2769,2660,28,48,145,Normal
1783,http,http,RSTO,144,3812,73,39,30,Normal
861,icmp,snmp,S0,4819,3184,68,96,232,Normal
1139,tcp,ssh,RSTO,3866,3861,42,51,28,Normal
4643,http,snmp,OTH,3604,739,32,71,244,Normal
7008,dns,smtp,REJ,1892,3191,57,47,66,Normal
5109,https,http,SF,2144,3935,50,17,142,Normal
5421,ftp,telnet,RSTR,35,2162,85,98,124,Normal
44,http,ftp,REJ,9398,73,71,73,19,DoS
7018,https,ssh,SH,2248,2665,95,17,182,Normal
5627,icmp,telnet,SF,138,166,95,54,124,BruteForce
1952,http,dns,SH,2190,1164,45,8,39,Normal
1039,udp,ssh,SH,3545,1798,85,79,127,Botnet
8581,smtp,telnet,RSTR,249,53,71,72,126,BruteForce
2356,ftp,smtp,REJ,476,877,43,90,100,Normal
3710,ftp,irc,SF,2389,3340,38,43,176,Infiltration
1,tcp,ftp,REJ,12363,13,83,99,97,DoS
1244,icmp,dns,REJ,2164,3745,84,40,187,Botnet
8697,udp,smtp,RSTO,3705,4442,0,78,48,Normal
7140,http,telnet,SF,656,2957,94,94,233,Normal
2474,https,ftp,OTH,2296,2639,14,23,223,Infiltration
2131,https,dns,SH,2841,1588,68,72,45,Normal
5717,tcp,telnet,OTH,4151,4003,96,21,154,Normal
1196,ftp,dns,SH,2182,1003,97,86,26,Botnet
2314,tcp,ssh,RSTR,3842,256,44,95,76,Normal
1690,udp,ssh,RSTO,4038,1643,91,87,118,Normal
2270,ftp,irc,S0,702,2549,72,62,118,Normal
2194,http,dns,S0,1529,4454,69,99,0,Normal
478,http,ftp,RSTR,1649,3187,71,25,130,Normal
2115,tcp,dns,SF,4112,3156,21,27,225,Normal
49,ftp,irc,RSTR,7607,19,96,74,33,DoS
170,http,smtp,SF,1154,189,36,22,0,WebAttack
5400,icmp,dns,OTH,195,122,81,54,242,BruteForce
2880,ftp,smtp,OTH,4594,1437,94,44,16,Normal
9243,smtp,irc,SH,3983,3665,35,5,240,Normal
2689,udp,telnet,SF,1748,4597,31,65,87,Normal
5198,ftp,ssh,SH,374,4914,62,23,232,Normal
894,tcp,smtp,SH,1444,308,45,33,168,WebAttack
4852,https,ftp,S0,2416,807,29,71,156,Normal
5647,udp,smtp,RSTR,534,1868,38,69,62,Normal
5063,dns,smtp,SF,2386,939,66,46,15,Normal
7616,smtp,snmp,OTH,1641,4443,59,66,135,Normal
3673,tcp,smtp,REJ,4927,1690,36,18,52,Normal
8172,udp,http,RSTR,3806,282,35,18,127,Normal
7944,icmp,ftp,S0,166,92,81,91,147,BruteForce
8958,dns,ssh,SH,1274,2183,82,57,211,Normal
9470,icmp,irc,RSTR,785,4426,13,38,116,Normal
1422,tcp,ftp,SH,1974,2327,88,0,86,Normal
6580,udp,dns,REJ,3388,4238,34,5,228,Normal
712,https,irc,RSTR,1326,846,35,39,29,WebAttack
4091,ftp,ssh,SH,283,1299,26,23,228,Infiltration
4139,smtp,smtp,RSTO,2173,3039,22,17,115,Normal
11,tcp,http,OTH,9854,40,74,87,214,DoS
1761,tcp,ssh,SF,2306,2353,51,63,238,Botnet
4176,ftp,telnet,SF,3667,2094,63,80,111,Normal
6655,https,smtp,SH,214,1635,56,67,42,Normal
4445,ftp,telnet,S0,4564,1828,32,24,200,Infiltration
5727,https,snmp,RSTR,1673,804,82,70,123,Normal
65,ftp,ftp,RSTR,7028,31,72,97,5,DoS
4461,https,telnet,S0,2254,4437,61,57,87,Normal
43,http,irc,RSTO,9760,24,90,75,243,DoS
2292,smtp,telnet,RSTO,3737,3068,45,53,112,Normal
791,ftp,ssh,RSTO,1974,581,24,35,67,WebAttack
9558,tcp,snmp,REJ,54,2201,72,37,109,Normal
7821,udp,http,SH,1084,3793,96,66,168,Normal
36,smtp,ftp,SF,8951,21,80,97,161,DoS
5086,http,telnet,SF,1830,2035,30,3,165,Normal
8857,udp,smtp,SH,3923,2365,47,9,113,Normal
5161,https,ftp,SF,4933,1512,66,81,47,Normal
